gene,gene_start,gene_end,CHROM,gene_length
chr1:0-1042457,0,1042457,1,1042458
chr1:1042457-1265484,1042457,1265484,1,223028
chr1:1265484-1519859,1265484,1519859,1,254376
chr1:1519859-1826619,1519859,1826619,1,306761
chr1:1826619-2058465,1826619,2058465,1,231847
chr1:2058465-2280372,2058465,2280372,1,221908
chr1:2280372-2491263,2280372,2491263,1,210892
chr1:2491263-2817807,2491263,2817807,1,326545
chr1:2817807-3025418,2817807,3025418,1,207612
chr1:3025418-3230151,3025418,3230151,1,204734
chr1:3230151-3437000,3230151,3437000,1,206850
chr1:3437000-3645603,3437000,3645603,1,208604
chr1:3645603-4091348,3645603,4091348,1,445746
chr1:4091348-4312450,4091348,4312450,1,221103
chr1:4312450-4522391,4312450,4522391,1,209942
chr1:4522391-4733807,4522391,4733807,1,211417
chr1:4733807-4949751,4733807,4949751,1,215945
chr1:4949751-5167781,4949751,5167781,1,218031
chr1:5167781-5378577,5167781,5378577,1,210797
chr1:5378577-5586352,5378577,5586352,1,207776
chr1:5586352-5802602,5586352,5802602,1,216251
chr1:5802602-6013527,5802602,6013527,1,210926
chr1:6013527-6232553,6013527,6232553,1,219027
chr1:6232553-6468662,6232553,6468662,1,236110
chr1:6468662-6699855,6468662,6699855,1,231194
chr1:6699855-6922979,6699855,6922979,1,223125
chr1:6922979-7134271,6922979,7134271,1,211293
chr1:7134271-7347565,7134271,7347565,1,213295
chr1:7347565-7562625,7347565,7562625,1,215061
chr1:7562625-7781202,7562625,7781202,1,218578
chr1:7781202-8012370,7781202,8012370,1,231169
chr1:8012370-8246678,8012370,8246678,1,234309
chr1:8246678-8471404,8246678,8471404,1,224727
chr1:8471404-8698958,8471404,8698958,1,227555
chr1:8698958-8937804,8698958,8937804,1,238847
chr1:8937804-9174404,8937804,9174404,1,236601
chr1:9174404-9392992,9174404,9392992,1,218589
chr1:9392992-9634910,9392992,9634910,1,241919
chr1:9634910-9874006,9634910,9874006,1,239097
chr1:9874006-10127844,9874006,10127844,1,253839
chr1:10127844-10365738,10127844,10365738,1,237895
chr1:10365738-10601471,10365738,10601471,1,235734
chr1:10601471-10808784,10601471,10808784,1,207314
chr1:10808784-11040607,10808784,11040607,1,231824
chr1:11040607-11278872,11040607,11278872,1,238266
chr1:11278872-11503002,11278872,11503002,1,224131
chr1:11503002-11724328,11503002,11724328,1,221327
chr1:11724328-11955069,11724328,11955069,1,230742
chr1:11955069-12186818,11955069,12186818,1,231750
chr1:12186818-12410804,12186818,12410804,1,223987
chr1:12410804-13677584,12410804,13677584,1,1266781
chr1:13677584-13893991,13677584,13893991,1,216408
chr1:13893991-14110195,13893991,14110195,1,216205
chr1:14110195-14324312,14110195,14324312,1,214118
chr1:14324312-14547843,14324312,14547843,1,223532
chr1:14547843-14759654,14547843,14759654,1,211812
chr1:14759654-14977412,14759654,14977412,1,217759
chr1:14977412-15195891,14977412,15195891,1,218480
chr1:15195891-15416704,15195891,15416704,1,220814
chr1:15416704-15656764,15416704,15656764,1,240061
chr1:15656764-15902405,15656764,15902405,1,245642
chr1:15902405-16134290,15902405,16134290,1,231886
chr1:16134290-17108710,16134290,17108710,1,974421
chr1:17108710-17326678,17108710,17326678,1,217969
chr1:17326678-17567445,17326678,17567445,1,240768
chr1:17567445-17777104,17567445,17777104,1,209660
chr1:17777104-17987772,17777104,17987772,1,210669
chr1:17987772-18196383,17987772,18196383,1,208612
chr1:18196383-18401979,18196383,18401979,1,205597
chr1:18401979-18615870,18401979,18615870,1,213892
chr1:18615870-18826589,18615870,18826589,1,210720
chr1:18826589-19038400,18826589,19038400,1,211812
chr1:19038400-19251485,19038400,19251485,1,213086
chr1:19251485-19472583,19251485,19472583,1,221099
chr1:19472583-19706853,19472583,19706853,1,234271
chr1:19706853-19930662,19706853,19930662,1,223810
chr1:19930662-20161787,19930662,20161787,1,231126
chr1:20161787-20371770,20161787,20371770,1,209984
chr1:20371770-20590678,20371770,20590678,1,218909
chr1:20590678-20821750,20590678,20821750,1,231073
chr1:20821750-21043441,20821750,21043441,1,221692
chr1:21043441-21279115,21043441,21279115,1,235675
chr1:21279115-21542297,21279115,21542297,1,263183
chr1:21542297-21761190,21542297,21761190,1,218894
chr1:21761190-22018947,21761190,22018947,1,257758
chr1:22018947-22242704,22018947,22242704,1,223758
chr1:22242704-22456764,22242704,22456764,1,214061
chr1:22456764-22664837,22456764,22664837,1,208074
chr1:22664837-22875867,22664837,22875867,1,211031
chr1:22875867-23100476,22875867,23100476,1,224610
chr1:23100476-23331671,23100476,23331671,1,231196
chr1:23331671-23563511,23331671,23563511,1,231841
chr1:23563511-24139449,23563511,24139449,1,575939
chr1:24139449-24360876,24139449,24360876,1,221428
chr1:24360876-24581408,24360876,24581408,1,220533
chr1:24581408-24823636,24581408,24823636,1,242229
chr1:24823636-25035862,24823636,25035862,1,212227
chr1:25035862-25259676,25035862,25259676,1,223815
chr1:25259676-25575144,25259676,25575144,1,315469
chr1:25575144-25795406,25575144,25795406,1,220263
chr1:25795406-26022169,25795406,26022169,1,226764
chr1:26022169-26253199,26022169,26253199,1,231031
chr1:26253199-26487988,26253199,26487988,1,234790
chr1:26487988-26734811,26487988,26734811,1,246824
chr1:26734811-26975362,26734811,26975362,1,240552
chr1:26975362-27223176,26975362,27223176,1,247815
chr1:27223176-27458708,27223176,27458708,1,235533
chr1:27458708-27685740,27458708,27685740,1,227033
chr1:27685740-27931241,27685740,27931241,1,245502
chr1:27931241-28164534,27931241,28164534,1,233294
chr1:28164534-28418192,28164534,28418192,1,253659
chr1:28418192-28679501,28418192,28679501,1,261310
chr1:28679501-28925487,28679501,28925487,1,245987
chr1:28925487-29163140,28925487,29163140,1,237654
chr1:29163140-29600315,29163140,29600315,1,437176
chr1:29600315-29813280,29600315,29813280,1,212966
chr1:29813280-30023008,29813280,30023008,1,209729
chr1:30023008-30235406,30023008,30235406,1,212399
chr1:30235406-30451610,30235406,30451610,1,216205
chr1:30451610-30676655,30451610,30676655,1,225046
chr1:30676655-30887081,30676655,30887081,1,210427
chr1:30887081-31118594,30887081,31118594,1,231514
chr1:31118594-31359043,31118594,31359043,1,240450
chr1:31359043-31595970,31359043,31595970,1,236928
chr1:31595970-31801626,31595970,31801626,1,205657
chr1:31801626-32040848,31801626,32040848,1,239223
chr1:32040848-32281742,32040848,32281742,1,240895
chr1:32281742-32526110,32281742,32526110,1,244369
chr1:32526110-32777638,32526110,32777638,1,251529
chr1:32777638-33009750,32777638,33009750,1,232113
chr1:33009750-33240353,33009750,33240353,1,230604
chr1:33240353-33455194,33240353,33455194,1,214842
chr1:33455194-33664970,33455194,33664970,1,209777
chr1:33664970-33881591,33664970,33881591,1,216622
chr1:33881591-34091717,33881591,34091717,1,210127
chr1:34091717-34310709,34091717,34310709,1,218993
chr1:34310709-34516841,34310709,34516841,1,206133
chr1:34516841-34736442,34516841,34736442,1,219602
chr1:34736442-34947162,34736442,34947162,1,210721
chr1:34947162-35200758,34947162,35200758,1,253597
chr1:35200758-35433225,35200758,35433225,1,232468
chr1:35433225-35654347,35433225,35654347,1,221123
chr1:35654347-35889544,35654347,35889544,1,235198
chr1:35889544-36117159,35889544,36117159,1,227616
chr1:36117159-36354687,36117159,36354687,1,237529
chr1:36354687-36580421,36354687,36580421,1,225735
chr1:36580421-36790608,36580421,36790608,1,210188
chr1:36790608-36995301,36790608,36995301,1,204694
chr1:36995301-37203127,36995301,37203127,1,207827
chr1:37203127-37424389,37203127,37424389,1,221263
chr1:37424389-37651091,37424389,37651091,1,226703
chr1:37651091-37873972,37651091,37873972,1,222882
chr1:37873972-38111845,37873972,38111845,1,237874
chr1:38111845-38322779,38111845,38322779,1,210935
chr1:38322779-38538570,38322779,38538570,1,215792
chr1:38538570-38753985,38538570,38753985,1,215416
chr1:38753985-38995620,38753985,38995620,1,241636
chr1:38995620-39238287,38995620,39238287,1,242668
chr1:39238287-39461330,39238287,39461330,1,223044
chr1:39461330-39702264,39461330,39702264,1,240935
chr1:39702264-39946814,39702264,39946814,1,244551
chr1:39946814-40183121,39946814,40183121,1,236308
chr1:40183121-40415842,40183121,40415842,1,232722
chr1:40415842-40651928,40415842,40651928,1,236087
chr1:40651928-40868291,40651928,40868291,1,216364
chr1:40868291-41096298,40868291,41096298,1,228008
chr1:41096298-41320987,41096298,41320987,1,224690
chr1:41320987-41525935,41320987,41525935,1,204949
chr1:41525935-41735464,41525935,41735464,1,209530
chr1:41735464-41943586,41735464,41943586,1,208123
chr1:41943586-42168808,41943586,42168808,1,225223
chr1:42168808-42390589,42168808,42390589,1,221782
chr1:42390589-42613844,42390589,42613844,1,223256
chr1:42613844-42841006,42613844,42841006,1,227163
chr1:42841006-43066488,42841006,43066488,1,225483
chr1:43066488-43300000,43066488,43300000,1,233513
chr1:43300000-43520730,43300000,43520730,1,220731
chr1:43520730-43740019,43520730,43740019,1,219290
chr1:43740019-43956420,43740019,43956420,1,216402
chr1:43956420-44177542,43956420,44177542,1,221123
chr1:44177542-44389254,44177542,44389254,1,211713
chr1:44389254-44607748,44389254,44607748,1,218495
chr1:44607748-44839537,44607748,44839537,1,231790
chr1:44839537-45078807,44839537,45078807,1,239271
chr1:45078807-45330532,45078807,45330532,1,251726
chr1:45330532-45575545,45330532,45575545,1,245014
chr1:45575545-45819446,45575545,45819446,1,243902
chr1:45819446-46046996,45819446,46046996,1,227551
chr1:46046996-46279045,46046996,46279045,1,232050
chr1:46279045-46514026,46279045,46514026,1,234982
chr1:46514026-46730051,46514026,46730051,1,216026
chr1:46730051-47027817,46730051,47027817,1,297767
chr1:47027817-47303866,47027817,47303866,1,276050
chr1:47303866-47528543,47303866,47528543,1,224678
chr1:47528543-47737794,47528543,47737794,1,209252
chr1:47737794-47940906,47737794,47940906,1,203113
chr1:47940906-48163917,47940906,48163917,1,223012
chr1:48163917-48401104,48163917,48401104,1,237188
chr1:48401104-48623398,48401104,48623398,1,222295
chr1:48623398-48828244,48623398,48828244,1,204847
chr1:48828244-49040375,48828244,49040375,1,212132
chr1:49040375-49268353,49040375,49268353,1,227979
chr1:49268353-49489357,49268353,49489357,1,221005
chr1:49489357-49725897,49489357,49725897,1,236541
chr1:49725897-49969755,49725897,49969755,1,243859
chr1:49969755-50181051,49969755,50181051,1,211297
chr1:50181051-50397325,50181051,50397325,1,216275
chr1:50397325-50612598,50397325,50612598,1,215274
chr1:50612598-50843866,50612598,50843866,1,231269
chr1:50843866-51080082,50843866,51080082,1,236217
chr1:51080082-51311650,51080082,51311650,1,231569
chr1:51311650-51541689,51311650,51541689,1,230040
chr1:51541689-51764720,51541689,51764720,1,223032
chr1:51764720-51985487,51764720,51985487,1,220768
chr1:51985487-52232407,51985487,52232407,1,246921
chr1:52232407-52462041,52232407,52462041,1,229635
chr1:52462041-52688455,52462041,52688455,1,226415
chr1:52688455-52932444,52688455,52932444,1,243990
chr1:52932444-53155506,52932444,53155506,1,223063
chr1:53155506-53368072,53155506,53368072,1,212567
chr1:53368072-53581561,53368072,53581561,1,213490
chr1:53581561-53790970,53581561,53790970,1,209410
chr1:53790970-54020097,53790970,54020097,1,229128
chr1:54020097-54240519,54020097,54240519,1,220423
chr1:54240519-54463118,54240519,54463118,1,222600
chr1:54463118-54698091,54463118,54698091,1,234974
chr1:54698091-54923212,54698091,54923212,1,225122
chr1:54923212-55142657,54923212,55142657,1,219446
chr1:55142657-55358117,55142657,55358117,1,215461
chr1:55358117-55580534,55358117,55580534,1,222418
chr1:55580534-55796192,55580534,55796192,1,215659
chr1:55796192-56004831,55796192,56004831,1,208640
chr1:56004831-56218770,56004831,56218770,1,213940
chr1:56218770-56437336,56218770,56437336,1,218567
chr1:56437336-56655780,56437336,56655780,1,218445
chr1:56655780-56866589,56655780,56866589,1,210810
chr1:56866589-57072999,56866589,57072999,1,206411
chr1:57072999-57280809,57072999,57280809,1,207811
chr1:57280809-57490206,57280809,57490206,1,209398
chr1:57490206-57709142,57490206,57709142,1,218937
chr1:57709142-57917694,57709142,57917694,1,208553
chr1:57917694-58133311,57917694,58133311,1,215618
chr1:58133311-58354593,58133311,58354593,1,221283
chr1:58354593-58574467,58354593,58574467,1,219875
chr1:58574467-58793135,58574467,58793135,1,218669
chr1:58793135-59005597,58793135,59005597,1,212463
chr1:59005597-59215264,59005597,59215264,1,209668
chr1:59215264-59435338,59215264,59435338,1,220075
chr1:59435338-59674085,59435338,59674085,1,238748
chr1:59674085-59885673,59674085,59885673,1,211589
chr1:59885673-60095453,59885673,60095453,1,209781
chr1:60095453-60311261,60095453,60311261,1,215809
chr1:60311261-60538303,60311261,60538303,1,227043
chr1:60538303-60756451,60538303,60756451,1,218149
chr1:60756451-60974834,60756451,60974834,1,218384
chr1:60974834-61186752,60974834,61186752,1,211919
chr1:61186752-61396331,61186752,61396331,1,209580
chr1:61396331-61611136,61396331,61611136,1,214806
chr1:61611136-61841171,61611136,61841171,1,230036
chr1:61841171-62070508,61841171,62070508,1,229338
chr1:62070508-62307099,62070508,62307099,1,236592
chr1:62307099-62530811,62307099,62530811,1,223713
chr1:62530811-62766850,62530811,62766850,1,236040
chr1:62766850-62981638,62766850,62981638,1,214789
chr1:62981638-63191464,62981638,63191464,1,209827
chr1:63191464-63419702,63191464,63419702,1,228239
chr1:63419702-63642491,63419702,63642491,1,222790
chr1:63642491-63854704,63642491,63854704,1,212214
chr1:63854704-64061613,63854704,64061613,1,206910
chr1:64061613-64284698,64061613,64284698,1,223086
chr1:64284698-64506779,64284698,64506779,1,222082
chr1:64506779-64717115,64506779,64717115,1,210337
chr1:64717115-64931806,64717115,64931806,1,214692
chr1:64931806-65160400,64931806,65160400,1,228595
chr1:65160400-65377507,65160400,65377507,1,217108
chr1:65377507-65609504,65377507,65609504,1,231998
chr1:65609504-65834471,65609504,65834471,1,224968
chr1:65834471-66055681,65834471,66055681,1,221211
chr1:66055681-66279180,66055681,66279180,1,223500
chr1:66279180-66498175,66279180,66498175,1,218996
chr1:66498175-66707630,66498175,66707630,1,209456
chr1:66707630-66929181,66707630,66929181,1,221552
chr1:66929181-67147896,66929181,67147896,1,218716
chr1:67147896-67382537,67147896,67382537,1,234642
chr1:67382537-67610312,67382537,67610312,1,227776
chr1:67610312-67820292,67610312,67820292,1,209981
chr1:67820292-68036238,67820292,68036238,1,215947
chr1:68036238-68251073,68036238,68251073,1,214836
chr1:68251073-68472249,68251073,68472249,1,221177
chr1:68472249-68690571,68472249,68690571,1,218323
chr1:68690571-68918068,68690571,68918068,1,227498
chr1:68918068-69151238,68918068,69151238,1,233171
chr1:69151238-69362763,69151238,69362763,1,211526
chr1:69362763-69583523,69362763,69583523,1,220761
chr1:69583523-69789698,69583523,69789698,1,206176
chr1:69789698-70023608,69789698,70023608,1,233911
chr1:70023608-70234175,70023608,70234175,1,210568
chr1:70234175-70462518,70234175,70462518,1,228344
chr1:70462518-70688373,70462518,70688373,1,225856
chr1:70688373-70908277,70688373,70908277,1,219905
chr1:70908277-71122334,70908277,71122334,1,214058
chr1:71122334-71343476,71122334,71343476,1,221143
chr1:71343476-71557048,71343476,71557048,1,213573
chr1:71557048-71764822,71557048,71764822,1,207775
chr1:71764822-71980283,71764822,71980283,1,215462
chr1:71980283-72186128,71980283,72186128,1,205846
chr1:72186128-72400637,72186128,72400637,1,214510
chr1:72400637-72611276,72400637,72611276,1,210640
chr1:72611276-72820388,72611276,72820388,1,209113
chr1:72820388-73045332,72820388,73045332,1,224945
chr1:73045332-73261354,73045332,73261354,1,216023
chr1:73261354-73475764,73261354,73475764,1,214411
chr1:73475764-73688879,73475764,73688879,1,213116
chr1:73688879-73896442,73688879,73896442,1,207564
chr1:73896442-74113116,73896442,74113116,1,216675
chr1:74113116-74326852,74113116,74326852,1,213737
chr1:74326852-74545358,74326852,74545358,1,218507
chr1:74545358-74755814,74545358,74755814,1,210457
chr1:74755814-74982179,74755814,74982179,1,226366
